FlagName,Category,UIDisplayName,ExpectedMeaning,ExpectedAction
Leukocytosis,Count Flags,Leukocytosis,WBC result is above the laboratory-configured high threshold.,"Correlate with clinical information and previous results (delta check). Repeat measurement if unexpected or near decision limits. Review smear/manual differential if clinically indicated."
Leukocytopenia,Count Flags,Leukocytopenia,WBC result is below the laboratory-configured low threshold.,"Correlate with clinical information and previous results. Repeat measurement if unexpected or near decision limits. Review smear/manual differential if clinically indicated."
Erythrocytosis,Count Flags,Erythrocytosis,HGB result is above the laboratory-configured high threshold.,"Confirm plausibility and specimen condition. Repeat measurement if unexpected. Apply critical value reporting/escalation procedures if required by local policy."
Anemia,Count Flags,Anemia,HGB result is below the laboratory-configured low threshold.,"Confirm plausibility and specimen condition. Repeat measurement (recommended when clinically significant or unexpected). Apply critical value reporting/escalation procedures if required."
Microcytosis,Count Flags,Microcytosis,MCV result is below the laboratory-configured low threshold.,"Correlate with clinical context and prior results. Repeat measurement if unexpected. Consider smear review if required by SOP."
Macrocytosis,Count Flags,Macrocytosis,MCV result is above the laboratory-configured high threshold.,"Correlate with clinical context and prior results. Repeat measurement if unexpected. Consider smear review if required by SOP."
Hypochromia,Count Flags,Hypochromia,MCHC result is below the laboratory-configured low threshold.,"Confirm specimen/result consistency. Repeat measurement if unexpected or inconsistent. Consider smear review/manual confirmation per SOP."
Anisocytosis,Count Flags,Anisocytosis,RDW-CV result is above the laboratory-configured high threshold.,"Correlate with CBC indices and clinical history. Repeat measurement if unexpected. Consider smear review if required by SOP."
Thrombocytopenia,Count Flags,Thrombocytopenia,PLT result is below the laboratory-configured low threshold.,"Repeat measurement (recommended), especially if clinically significant. Review smear/images for platelet clumping. If clumping is suspected/confirmed, follow SOP (e.g., recollection or alternative anticoagulant)."
Thrombocytosis,Count Flags,Thrombocytosis,PLT result is above the laboratory-configured high threshold.,"Correlate with clinical information and prior results. Repeat measurement if unexpected. Review smear if required by SOP."
Neutrophilia,Count Flags,Neutrophilia,Neutrophil % and/or absolute neutrophil count is above the configured threshold.,"Correlate with clinical context and delta check. Repeat measurement if unexpected. Review smear/manual differential if clinically indicated or required by SOP."
Neutropenia,Count Flags,Neutropenia,Neutrophil % and/or absolute neutrophil count is below the configured threshold.,"Repeat measurement if unexpected or clinically significant. Correlate with patient history and prior results. Perform smear/manual differential per SOP when required."
Lymphocytosis,Count Flags,Lymphocytosis,Lymphocyte % and/or absolute lymphocyte count is above the configured threshold.,"Correlate with clinical context and delta check. Repeat measurement if unexpected. Review smear/manual differential if required by SOP."
Lymphopenia,Count Flags,Lymphopenia,Lymphocyte % and/or absolute lymphocyte count is below the configured threshold.,"Correlate with clinical context and prior results. Repeat measurement if unexpected. Perform additional review/confirmation per SOP if clinically indicated."
Monocytosis,Count Flags,Monocytosis,Monocyte % and/or absolute monocyte count is above the configured threshold.,"Correlate with clinical context and delta check. Repeat measurement if unexpected. Consider smear review/manual differential per SOP."
Eosinophilia,Count Flags,Eosinophilia,Eosinophil % and/or absolute eosinophil count is above the configured threshold.,"Correlate with clinical context and prior results. Repeat measurement if unexpected. Consider smear review/manual differential per SOP."
Basophilia,Count Flags,Basophilia,Basophil % and/or absolute basophil count is above the configured threshold.,"Correlate with clinical context and prior results. Repeat measurement if unexpected. Consider smear review/manual differential per SOP."
